rule,name,category,accuracy,severity,fixability,applicability,configuration,conflicts,total,ecosystem
F722,forward-annotation-syntax-error,suspicious,2,1,0,2,2,2,10.0,0
F811,redefined-while-unused,correctness,2,2,2,2,1,2,12.0,519
F821,undefined-name,correctness,2,2,0,2,1,2,11.0,772
F822,undefined-export,correctness,2,2,0,2,2,2,12.0,25
F823,undefined-local,correctness,2,2,0,2,2,2,12.0,6
F841,unused-variable,correctness,2,2,2,2,1,2,12.0,535
F842,unused-annotation,correctness,2,2,0,2,1,2,11.0,0
F901,raise-not-implemented,suspicious,2,1,2,2,2,2,11.0,0
FURB163,redundant-log-base,correctness,2,2,2,2,2,2,13.0,1
LOG001,direct-logger-instantiation,correctness,2,2,2,2,2,2,13.0,2
PIE794,duplicate-class-field-definition,correctness,2,2,2,2,2,2,13.0,5
PIE796,non-unique-enums,correctness,2,2,0,2,2,2,12.0,3
PLC0131,type-bivariance,correctness,2,2,0,2,2,2,12.0,0
PLC0132,type-param-name-mismatch,correctness,2,2,0,2,2,2,12.0,1
PLC0205,single-string-slots,correctness,2,2,0,2,2,2,12.0,26
PLE0100,yield-in-init,correctness,2,2,0,2,2,2,12.0,0
PLE0101,return-in-init,correctness,2,2,0,2,2,2,12.0,4
PLE0115,nonlocal-and-global,correctness,2,2,0,2,2,2,12.0,0
PLE0116,continue-in-finally,correctness,2,2,0,2,2,2,12.0,0
PLE0117,nonlocal-without-binding,correctness,2,2,0,2,2,2,12.0,0
PLE0118,load-before-global-declaration,correctness,2,2,0,2,2,2,12.0,0
PLE0237,non-slot-assignment,correctness,1,2,0,2,2,2,11.0,0
PLE0241,duplicate-bases,correctness,2,2,2,2,2,2,13.0,0
PLE0302,unexpected-special-method-signature,suspicious,2,2,0,2,2,2,12.0,0
PLE0303,invalid-length-return-type,suspicious,2,2,0,2,2,2,12.0,0
PLE0305,invalid-index-return-type,suspicious,2,2,0,2,2,2,12.0,0
PLE0307,invalid-str-return-type,suspicious,2,2,0,2,2,2,12.0,0
PLE0308,invalid-bytes-return-type,suspicious,2,2,0,2,2,2,12.0,0
PLE0309,invalid-hash-return-type,suspicious,2,2,0,2,2,2,12.0,0
PLE0604,invalid-all-object,correctness,2,2,0,2,2,2,12.0,6
PLE0605,invalid-all-format,correctness,2,2,0,2,2,2,12.0,20
PLE0643,potential-index-error,correctness,2,2,0,2,2,2,12.0,1
PLE0704,misplaced-bare-raise,correctness,2,2,0,2,2,2,12.0,9
PLE1132,repeated-keyword-argument,correctness,2,2,0,2,2,2,12.0,0
PLE1142,await-outside-async,correctness,2,2,0,2,2,2,12.0,0
PLE1205,logging-too-many-args,correctness,2,2,0,2,1,2,11.0,14
PLE1206,logging-too-few-args,correctness,2,2,0,2,1,2,11.0,0
PLE1300,bad-string-format-character,correctness,2,2,0,2,2,2,12.0,0
PLE1307,bad-string-format-type,correctness,2,2,0,2,2,2,12.0,0
PLE1310,bad-str-strip-call,suspicious,2,2,0,2,2,2,12.0,0
PLE1507,invalid-envvar-value,correctness,2,2,0,2,2,2,12.0,0
PLE1700,yield-from-in-async-function,correctness,2,2,0,2,2,2,12.0,0
PLE2502,bidirectional-unicode,suspicious,2,2,0,2,2,2,12.0,0
PLE2510,invalid-character-backspace,correctness,2,2,2,2,2,2,13.0,0
PLE2512,invalid-character-sub,correctness,2,2,2,2,2,2,13.0,0
PLE2513,invalid-character-esc,correctness,2,2,2,2,2,2,13.0,0
PLE2514,invalid-character-nul,correctness,2,2,2,2,2,2,13.0,0
PLE2515,invalid-character-zero-width-space,correctness,2,2,2,2,2,2,13.0,0
PLR0124,comparison-with-itself,suspicious,2,2,0,2,2,2,12.0,155
PLR0133,comparison-of-constant,correctness,2,2,0,2,2,2,12.0,16
PLR0206,property-with-parameters,correctness,2,2,0,2,1,2,11.0,0
PLR1704,redefined-argument-from-local,suspicious,2,2,0,2,1,2,11.0,127
PLR1722,sys-exit-alias,suspicious,2,2,2,2,2,2,13.0,53
PLW0120,useless-else-on-loop,correctness,2,2,2,2,2,2,13.0,14
PLW0127,self-assigning-variable,correctness,2,2,0,2,2,2,12.0,47
PLW0128,redeclared-assigned-name,correctness,2,2,0,2,1,2,11.0,4
PLW0129,assert-on-string-literal,correctness,2,2,0,2,2,2,12.0,21
PLW0131,named-expr-without-context,suspicious,2,2,0,2,2,2,12.0,0
PLW0133,useless-exception-statement,correctness,2,2,2,2,2,2,13.0,3
PLW0177,nan-comparison,correctness,2,2,0,2,2,2,12.0,98
PLW0245,super-without-brackets,correctness,2,2,2,2,1,2,12.0,0
PLW0406,import-self,correctness,2,2,0,2,2,2,12.0,3
PLW0602,global-variable-not-assigned,correctness,2,2,0,2,2,2,12.0,25
PLW0604,global-at-module-level,correctness,2,2,0,2,2,2,12.0,7
PLW0711,binary-op-exception,suspicious,2,2,0,2,2,2,12.0,1
PLW1501,bad-open-mode,correctness,2,2,0,2,2,2,12.0,0
PLW1507,shallow-copy-environ,suspicious,2,2,2,2,2,2,13.0,0
PLW1508,invalid-envvar-default,suspicious,2,2,0,2,2,2,12.0,50
PLW1509,subprocess-popen-preexec-fn,suspicious,2,2,0,2,2,2,12.0,7
PLW1510,subprocess-run-without-check,suspicious,2,2,2,2,2,2,13.0,118
PLW2101,useless-with-lock,correctness,2,2,0,2,2,2,12.0,0
PLW2901,redefined-loop-name,suspicious,2,2,0,2,1,2,11.0,1264
PTH210,invalid-pathlib-with-suffix,correctness,2,2,2,2,2,2,13.0,0
PYI006,bad-version-info-comparison,suspicious,2,2,0,2,2,2,12.0,4
PYI016,duplicate-union-member,correctness,2,2,2,2,2,2,13.0,8
PYI018,unused-private-type-var,correctness,2,2,2,2,2,2,13.0,1
PYI046,unused-private-protocol,correctness,2,2,0,2,2,2,12.0,24
PYI047,unused-private-type-alias,correctness,2,2,0,2,2,2,12.0,56
PYI049,unused-private-typed-dict,correctness,2,2,0,2,2,2,12.0,2
PYI057,byte-string-usage,suspicious,2,2,0,2,2,2,12.0,2
PYI059,generic-not-last-base-class,suspicious,2,2,2,2,2,2,13.0,41
PYI062,duplicate-literal-member,correctness,2,2,2,2,2,2,13.0,2
RUF016,invalid-index-type,correctness,2,2,0,2,2,2,12.0,1
RUF018,assignment-in-assert,suspicious,2,2,0,2,2,2,12.0,38
RUF026,default-factory-kwarg,correctness,2,2,2,2,2,2,13.0,0
RUF028,invalid-formatter-suppression-comment,correctness,2,2,2,2,2,2,13.0,14
RUF030,assert-with-print-message,correctness,2,2,2,2,2,2,13.0,0
RUF033,post-init-default,correctness,2,2,2,2,2,2,13.0,0
RUF034,useless-if-else,correctness,2,2,0,2,2,2,12.0,1
RUF040,invalid-assert-message-literal-argument,correctness,2,2,0,2,2,2,12.0,1
RUF048,map-int-version-parsing,suspicious,2,2,0,2,2,2,12.0,0
RUF049,dataclass-enum,correctness,2,2,0,2,2,2,12.0,0
RUF053,class-with-mixed-type-vars,correctness,2,2,2,2,2,2,13.0,0
RUF059,unused-unpacked-variable,correctness,2,2,2,2,1,2,12.0,1412
RUF100,unused-noqa,correctness,2,2,2,2,1,2,12.0,971
RUF101,redirected-noqa,correctness,2,2,2,2,2,2,13.0,4
RUF200,invalid-pyproject-toml,correctness,2,2,0,2,2,2,12.0,8
SIM107,return-in-try-except-finally,suspicious,2,2,0,2,2,2,12.0,0
T100,debugger,correctness,2,2,0,2,2,2,12.0,3
TC004,runtime-import-in-type-checking-block,correctness,2,2,2,2,1,2,12.0,16
TC007,unquoted-type-alias,correctness,2,2,2,2,2,2,13.0,0
TC010,runtime-string-union,correctness,2,2,0,2,2,2,12.0,0
TRY300,try-consider-else,suspicious,2,2,0,2,2,2,12.0,913
UP005,deprecated-unittest-alias,suspicious,2,2,2,2,2,2,13.0,0
UP019,typing-text-str-alias,suspicious,2,2,2,2,2,2,13.0,5522
UP021,replace-universal-newlines,suspicious,2,2,2,2,2,2,13.0,0
UP023,deprecated-c-element-tree,suspicious,2,2,2,2,2,2,13.0,0
UP024,os-error-alias,suspicious,2,2,2,2,2,2,13.0,66
UP035,deprecated-import,suspicious,2,2,2,2,2,2,13.0,5374
UP036,outdated-version-block,suspicious,2,2,2,2,0,2,11.0,841
UP041,timeout-error-alias,suspicious,2,2,2,2,1,2,12.0,12
W605,invalid-escape-sequence,correctness,2,2,2,2,2,2,13.0,103
YTT101,sys-version-slice3,suspicious,2,2,0,2,2,2,12.0,0
YTT102,sys-version2,suspicious,2,2,0,2,2,2,12.0,0
YTT103,sys-version-cmp-str3,suspicious,2,2,0,2,2,2,12.0,2
YTT201,sys-version-info0-eq3,suspicious,2,2,0,2,2,2,12.0,1
YTT203,sys-version-info1-cmp-int,suspicious,2,2,0,2,2,2,12.0,4
YTT204,sys-version-info-minor-cmp-int,suspicious,2,2,0,2,2,2,12.0,6
YTT301,sys-version0,suspicious,2,2,0,2,2,2,12.0,1
YTT302,sys-version-cmp-str10,suspicious,2,2,0,2,2,2,12.0,0
YTT303,sys-version-slice1,suspicious,2,2,0,2,2,2,12.0,0
